1,Deutsche Bank AG
2,iShares
3,WisdomTree
4,ProShares
5,First Trust
6,AlphaClone
7,JPMorgan
8,ALPS
9,UBS Group AG
10,InfraCap
11,Barclays Funds
12,PowerShares
13,ALPS ETF
14,SPDR State Street Global Advisors
15,Vanguard
16,Van Eck
17,Market Vectors
18,United States Commodity Funds LLC
19,Guggenheim Investments
20,UBS
21,QuantShares
22,Teucrium
23,Direxion Funds
24,IndexIQ
25,Credit Suisse AG
26,PowerShares DB
27,Deutsche Asset Management
28,Reality Shares ETF Trust
29,Diamond Hill Funds
30,Global X Funds
31,Citigroup
32,ELEMENTS
33,TWM FUNDS
34,Columbia
35,Elkhorn
36,OppenheimerFunds
37,ETHO Capital
38,Fidelity Investments
39,Franklin Templeton Investments
40,Schwab ETFs
41,AdvisorShares
42,Goldman Sachs
43,GreenHaven
44,ETF Securities
45,Strategy shares
46,Master Shares
47,Horizons ETFs
48,Deutsche Bank
49,Barclays
50,John Hancock
51,Pimco
52,USCF Equity Trust

